averageTrisNum(k),  averageVertsNum(k)
4.550  12.291
4.525  12.237
4.566  12.318
4.577  12.340
4.595  12.376
5.707  14.483
5.725  14.518
5.741  14.551
6.351  15.778
6.766  16.365
7.704  18.216
7.708  18.224
8.074  18.847
8.081  18.861
8.076  18.850
8.076  18.850
8.087  18.873
8.088  18.874
8.084  18.866
8.080  18.858
8.085  18.869
8.086  18.870
8.151  19.001
8.214  19.114
8.209  19.103
8.209  19.103
8.209  19.103
9.308  21.184
9.318  21.204
10.095  22.758
10.099  22.765
10.099  22.765
10.099  22.765
10.099  22.765
10.099  22.765
10.646  23.868
11.208  25.000
11.211  25.005
11.370  25.299
11.390  25.340
12.167  26.894
12.236  27.008
12.237  27.009
12.302  27.140
12.303  27.141
12.303  27.141
