optimalE2Ratio(Ratio),  optimalE2Degree(Degree),  D1,  D2,  D3,  MinimumTotalFrameSize(MB)
0.105  19.681  72.0000  496.8744  767.0323  5.855
0.123  22.662  96.0000  450.2625  669.7667  4.630
0.131  24.008  120.0000  393.1752  633.4704  3.836
0.139  25.327  144.0000  354.2299  601.5399  3.299
0.156  27.941  168.0000  345.1670  546.9055  2.904
0.164  29.144  192.0000  321.5378  524.9722  2.602
0.172  30.319  216.0000  303.2700  505.1756  2.367
0.180  31.467  240.0000  288.8418  487.2328  2.177
0.188  32.587  264.0000  277.2627  470.9073  2.022
0.196  33.679  287.9999  267.8599  456.0006  1.892
0.204  34.745  312.0000  260.1600  442.3450  1.782
0.212  35.784  336.0000  253.8193  429.7980  1.689
0.213  35.912  360.0000  240.6735  428.3013  1.608
0.221  36.946  384.0000  236.9723  416.5812  1.536
0.229  37.953  408.0000  233.9608  405.7710  1.474
0.231  38.170  432.0000  225.2965  403.5099  1.419
0.240  39.168  456.0000  223.8125  393.4502  1.370
0.242  39.448  480.0001  217.3285  390.7168  1.327
0.245  39.771  504.0001  211.9174  387.6022  1.288
0.254  40.769  528.0001  212.1298  378.3064  1.252
0.257  41.147  552.0001  208.1767  374.9032  1.220
0.261  41.564  576.0001  204.9839  371.2158  1.191
0.265  42.019  600.0001  202.4716  367.2767  1.164
0.270  42.510  624.0001  200.5728  363.1190  1.139
0.270  42.552  648.0000  195.8930  362.7649  1.117
0.280  43.591  672.0000  198.3960  354.2786  1.097
0.290  44.596  696.0000  200.9379  346.4446  1.080
0.300  45.567  720.0000  203.5170  339.1949  1.067
0.310  46.506  744.0000  206.1315  332.4702  1.056
0.320  47.413  767.9999  208.7798  326.2185  1.047
0.330  48.290  791.9999  211.4604  320.3947  1.040
0.340  49.138  815.9998  214.1718  314.9586  1.036
0.350  49.958  839.9999  216.9124  309.8748  1.033
0.360  50.751  863.9998  219.6808  305.1123  1.032
0.370  51.518  887.9997  222.4758  300.6430  1.032
0.380  52.260  911.9998  225.2960  296.4422  1.033
0.390  52.978  935.9998  228.1404  292.4877  1.036
0.400  53.673  959.9998  231.0076  288.7596  1.040
0.410  54.346  983.9998  233.8966  285.2399  1.045
0.420  54.997  1008.0000  236.8065  281.9126  1.051
0.430  55.628  1032.0000  239.7362  278.7631  1.058
0.440  56.239  1056.0000  242.6847  275.7782  1.066
0.450  56.832  1080.0000  245.6513  272.9460  1.074
0.460  57.406  1104.0000  248.6351  270.2556  1.084
0.470  57.962  1127.9990  251.6352  267.6972  1.094
0.480  58.502  1152.0000  254.6511  265.2616  1.104
