E1(Ratio),  E1(Degree),  D1,  D2,  RemoteFrameSize(MB)
0.03  5.82  72.0000  2361.5700  28.721
0.04  7.74  96.0000  1833.3170  17.309
0.05  9.65  120.0000  1500.6680  11.597
0.06  11.53  144.0000  1272.3780  8.337
0.07  13.39  168.0000  1106.3050  6.303
0.08  15.22  192.0000  980.2982  4.949
0.09  17.01  216.0000  881.5987  4.003
0.10  18.78  240.0000  802.3383  3.315
0.11  20.51  264.0000  737.4011  2.800
0.12  22.20  287.9999  683.3165  2.405
0.13  23.85  312.0000  637.6469  2.094
0.14  25.45  336.0000  598.6304  1.845
0.15  27.02  360.0000  564.9612  1.644
0.16  28.55  384.0000  535.6518  1.478
0.17  30.03  408.0000  509.9409  1.339
0.18  31.47  432.0000  487.2327  1.223
0.19  32.86  456.0000  467.0545  1.123
0.20  34.22  480.0001  449.0258  1.038
0.21  35.53  504.0001  432.8378  0.965
0.22  36.80  528.0001  418.2369  0.901
0.23  38.03  552.0001  405.0129  0.845
0.24  39.21  576.0001  392.9904  0.795
0.25  40.36  600.0001  382.0218  0.752
0.26  41.48  624.0001  371.9821  0.713
0.27  42.55  648.0000  362.7649  0.678
0.28  43.59  672.0000  354.2786  0.646
0.29  44.60  696.0000  346.4446  0.618
0.30  45.57  720.0000  339.1949  0.593
0.31  46.51  744.0000  332.4702  0.569
0.32  47.41  767.9999  326.2185  0.548
0.33  48.29  791.9999  320.3947  0.529
0.34  49.14  815.9998  314.9586  0.511
0.35  49.96  839.9999  309.8748  0.495
0.36  50.75  863.9998  305.1123  0.479
0.37  51.52  887.9997  300.6430  0.465
0.38  52.26  911.9998  296.4422  0.453
0.39  52.98  935.9998  292.4877  0.441
0.40  53.67  959.9998  288.7596  0.429
0.41  54.35  983.9998  285.2399  0.419
0.42  55.00  1008.0000  281.9126  0.409
0.43  55.63  1032.0000  278.7631  0.400
0.44  56.24  1056.0000  275.7782  0.392
0.45  56.83  1080.0000  272.9460  0.384
0.46  57.41  1104.0000  270.2556  0.376
0.47  57.96  1127.9990  267.6972  0.369
0.48  58.50  1152.0000  265.2616  0.362
